SELLER_GSTIN,PURCHASER_GSTIN,FILING_PERIOD,INVOICE_NUM,INVOICE_DATE,QUANTITY,TAXABLE_AMOUNT,TAX_RATE,CGST,SGST,IGST,CESS
A7D3CEE190,FE75D160C8,012018,1118727688,2018-01-04,1,2037330.4,12,,,244479.6,
F3D1E24350,A62B9D2D0C,012018,0017059027,2018-01-04,1801,1060721.1,18,,,190929.8,0.0
7EC06C0F12,98DBA6A4C3,012018,24113002016507,2018-01-28,1,1950690.0,18,0.0,0.0,351124.0,0.0
5A4FC8F226,AA67FDC3A6,012018,04B045/20708,2018-01-12,1,42487.99,5,,,2124.4,5940.0
62CD3BF990,62CB2D3C4D,012018,GSTV-13708,2018-01-16,1801,564.2,18,50.78,50.78,,0.0
A5227F3731,9FC8EC6C3B,012018,341,2018-01-25,1,78500.0,18,7065.0,7065.0,,
62CD3BF990,A99F0E58FF,012018,3706033736,2018-01-09,2,49374.0,12,0.0,0.0,5924.87,
776BBCB820,7CDC422324,012018,AMI/17-18/739,2018-01-21,1800,550647.0,18,,,99116.46,
7505EF1EFB,963C395415,012018,JVPL/A18V03370,2018-01-30,2801,3790.0,28,530.6,530.6,,0.0
62CD3BF990,62CB2D3C4D,012018,GSTV-13842,2018-01-17,1801,1200.0,18,108.0,108.0,,0.0
62CD3BF990,D68593B603,012018,3709006898,2018-01-01,1,1697397.0,5,0.0,0.0,84869.85,
BE46B01E78,D3CFB6E8EA,012018,2709848340,2018-01-27,1,874125.0,12,0.0,0.0,104895.0,0.0
5DA0527958,F5353C4745,012018,DL/7494/2017-18,2018-01-22,1,2376.5,18,,,427.77,0.0
776BBCB820,0F7D7CD530,012018,5396201399,2018-01-04,1,4189.97,18,,,754.19,
3536A3DD25,AD2FE8E06E,012018,2017/M1000003759,2018-01-08,1801,4250.01,18,,,765.0,0.0
96213E7C2C,EFFF14DCCC,012018,1138456084,2018-01-23,2801,222498.6,28,,,62299.61,0.0
BE46B01E78,D3CFB6E8EA,012018,4613001985,2018-01-30,1,729333.0,12,0.0,0.0,87519.96,0.0
44C4210B8E,FF8FCB55FB,012018,DH741143,2018-01-09,1,8792.0,5,,,439.6,0.0
2DCA4E61B2,9921FB53D5,012018,JPL/17-18/04867,2018-01-11,1200,69660.0,12,,,8359.2,0.0
099952F740,A59DE9EB25,012018,MH0430015622,2018-01-27,1201,13088.54,12,,,1570.62,0.0
B64AAF6835,FA8D45A223,012018,8953023426,2018-01-02,1,111778.75,28,0.0,0.0,31298.05,0.0
C57190D82A,7CEE6F87E2,012018,175,2018-01-01,1,25112.0,18,2260.08,2260.08,,0.0
C87EDD8683,1311D0C42C,012018,INVUP0000003538,2018-01-01,1801,37981.0,18,,,6836.58,0.0
A2A1EFDBE6,0FF6759AB7,012018,4610044730,2018-01-30,1,25018.0,18,2251.62,2251.62,,
CADC29DB4C,4424B09892,012018,G2018001112,2018-01-24,2801,2580.0,28,361.2,361.2,,0.0
